,loss,val_loss,lr
0,13.566452026367188,7.591939449310303,0.001
1,7.533261775970459,8.158129692077637,0.001
2,7.538372039794922,7.87416410446167,0.001
3,7.588724613189697,7.344271659851074,0.001
4,7.342832565307617,7.257968425750732,0.001
5,7.309571743011475,7.133268356323242,0.001
6,7.482094764709473,7.1530890464782715,0.001
7,7.037588596343994,7.159507751464844,0.001
8,6.892701625823975,7.096410751342773,0.001
9,6.705580234527588,7.3966593742370605,0.001
10,6.628054141998291,7.794557571411133,0.001
11,6.204145431518555,6.219950199127197,0.001
12,5.856882572174072,5.319191932678223,0.001
13,5.7081804275512695,5.170905590057373,0.001
14,5.2002787590026855,4.731415748596191,0.001
15,5.294585704803467,4.8794121742248535,0.001
16,5.281048774719238,5.144057273864746,0.001
17,5.111918926239014,5.544529438018799,0.001
18,5.021862030029297,4.949548721313477,0.001
19,5.106113433837891,4.794889450073242,0.001
20,5.096541881561279,7.295872211456299,0.001
21,5.033693790435791,4.676722526550293,0.001
22,4.746774673461914,4.6283278465271,0.001
23,4.9632792472839355,4.556509971618652,0.001
24,4.872920036315918,4.572824954986572,0.001
25,4.691741943359375,4.586723327636719,0.001
26,4.89103364944458,5.086138725280762,0.001
27,4.906683444976807,4.489738464355469,0.001
28,4.721477508544922,4.500310897827148,0.001
29,4.777745246887207,4.665205955505371,0.001
30,5.224345684051514,4.66161584854126,0.001
31,5.061270236968994,4.627514839172363,0.001
32,4.701925754547119,4.45027494430542,0.001
33,4.590029716491699,4.672201633453369,0.001
34,4.614740371704102,5.517039775848389,0.001
35,4.586539268493652,4.614799499511719,0.001
36,4.7505106925964355,5.265260219573975,0.001
37,4.571244239807129,5.265005111694336,0.001
38,4.568173408508301,4.60695743560791,0.001
39,4.533831596374512,4.526919841766357,0.001
40,4.844592571258545,4.990373134613037,0.001
41,4.65018367767334,4.519694805145264,0.001
42,4.666009902954102,4.925946235656738,0.001
43,4.593343257904053,4.439345836639404,0.001
44,4.5090532302856445,4.4624409675598145,0.001
45,4.518871784210205,5.127650737762451,0.001
46,4.614541053771973,4.605745792388916,0.001
47,4.572319030761719,4.518845558166504,0.001
48,4.478160381317139,4.53182315826416,0.001
49,4.504622459411621,4.4015889167785645,0.001
